"Year","Month","SOI"
1994,"Feb",0.665430808632014
1994,"Mar",-9.31053189267475
1994,"Apr",-12.8458328974036
1994,"May",-7.22682413760389
1994,"Jun",-5.54668488467379
1994,"Jul",-13.1963255230153
1994,"Aug",-12.0224533959677
1994,"Sep",-13.8917473992278
1994,"Oct",-10.8485812689203
1994,"Nov",-5.93055776034282
1994,"Dec",-11.544003145133
1995,"Jan",-4.39954253640857
1995,"Feb",-3.16217119804382
1995,"Mar",2.6507243781862
1995,"Apr",-8.06133038905976
1995,"May",-4.8345728834317
1995,"Jun",-0.283732125494861
1995,"Jul",3.07098300535548
1995,"Aug",1.37415362739636
1995,"Sep",1.89711087830846
1995,"Oct",-0.801126001397551
1995,"Nov",0.28929550050466
1995,"Dec",-5.32414988428555
1996,"Jan",8.04016398528638
1996,"Feb",0.66543080863147
