"Year","Month","SOI"
1938,"Aug",9.96329307214704
1938,"Sep",6.14074251228866
1938,"Oct",10.3085557033598
1938,"Nov",1.41393268020589
1938,"Dec",13.4076988454387
1939,"Jan",17.600173653025
1939,"Feb",8.03968698396024
1939,"Mar",10.5716129461889
1939,"Apr",5.61462802663057
1939,"May",-0.682304723587608
1939,"Jun",-0.86315657803253
1939,"Jul",6.12430143461188
1939,"Aug",-0.394585864243323
1939,"Sep",-7.66976273623201
1939,"Oct",-11.8868991603336
1939,"Nov",-5.98455227435914
1939,"Dec",-8.29452368795084
1940,"Jan",-0.15619023792932
1940,"Feb",-4.29112127364721
1940,"Mar",-9.65091259628744
1940,"Apr",-5.72971557036806
1940,"May",-9.0672543387609
1940,"Jun",-11.7142678447267
1940,"Jul",-11.6320624563435
1940,"Aug",-14.205091112764
1940,"Sep",-16.0547123514053
1940,"Oct",-14.8462931421595
1940,"Nov",-4.99808761375032
1940,"Dec",-28.5170492304266
1941,"Jan",-10.0208368440153
1941,"Feb",-16.1286972009508
1941,"Mar",-9.65091259628744
1941,"Apr",-6.71618023097688
1941,"May",-4.13493103571792
1941,"Jun",-8.75487386290141
1941,"Jul",-15.5779210987771
1941,"Aug",-14.6983234430678
1941,"Sep",-6.68329807562319
1941,"Oct",-16.3259901330722
1941,"Nov",-6.9710169349674
1941,"Dec",-8.29452368795028
1942,"Jan",-13.4734631561456
1942,"Feb",-3.7978889433428
1942,"Mar",-5.21182162354887
1942,"Apr",-3.26355391884657
1942,"May",3.26355391884711
1942,"Jun",5.05563138561927
1942,"Jul",-0.780951189648733
1942,"Aug",3.05804044788643
1942,"Sep",7.12720717289692
1942,"Oct",6.85592939122948
1942,"Nov",-3.02515829253268
1942,"Dec",13.4076988454382
1943,"Jan",9.70845636815664
1943,"Feb",10.9990809657861
1943,"Mar",3.66636032192883
1943,"Apr",8.08078967815206
1943,"May",1.78385692793388
1943,"Jun",-4.80901522046725
1943,"Jul",2.17844279217717
1943,"Aug",6.01743442971233
1943,"Sep",4.66104552137543
1943,"Oct",7.34916172153389
1943,"Nov",2.89362967111856
1943,"Dec",-8.29452368795084
1944,"Jan",-8.54113985310317
1944,"Feb",4.09382834152552
1944,"Mar",5.1460573128415
1944,"Apr",-3.26355391884713
1944,"May",-0.682304723587608
1944,"Jun",-2.34285356894576
1944,"Jul",-6.69973915329997
1944,"Aug",2.56480811758258
1944,"Sep",2.1948838698545
1944,"Oct",-6.95457585729064
1944,"Nov",-4.99808761375032
1944,"Dec",4.03628456965717
1945,"Jan",5.26936539541751
1945,"Feb",6.55998999304701
1945,"Mar",12.0513099371021
1945,"Apr",-4.25001857945539
1945,"May",-0.189072393283198
1945,"Jun",5.05563138561927
1945,"Jul",2.67167512248158
1945,"Aug",8.97682841153822
1945,"Sep",7.12720717289748
1945,"Oct",1.9236060881865
1945,"Nov",-2.53192596222827
1945,"Dec",6.50244622117809
1946,"Jan",-2.62235188945081
1946,"Feb",4.58706067182993
1946,"Mar",-1.75919531141856
1946,"Apr",-5.72971557036806
1946,"May",-7.09432501754382
1946,"Jun",-5.79547988107551
1946,"Jul",-7.68620381390823
1946,"Aug",-3.35397984606922
